Source,Target,CoAuthored
"Jaitly, N","Bengio, S",2
"Roberts, A","Robinson, K",2
"Roberts, A","Zhou, D",2
"Roberts, A","Zoph, B",2
"Choi, Y","Bisk, Y",2
"Narang, S","Lee, K",2
"Narang, S","Shazeer, N",2
"Huang, ML","Zhu, XY",2
"Huang, ML","Zhou, H",2
"Smith, NA","Peters, ME",2
"Roberts, A","Petrov, S",2
"Roberts, A","Dean, J",2
"Roberts, A","Wei, J",2
"Roberts, A","Wang, XZ",2
"Lapata, M","Liu, Y",2
"Wen, TH","Ultes, S",2
"Wen, TH","Gasic, M",2
"Roberts, A","Pellat, M",2
"Jaitly, N","Graves, A",2
"Roberts, A","Lee, K",2
"Li, YH","McLean, D",2
"Liu, TY","Song, KT",2
"Vinyals, O","van den Driessche, G",2
"Vinyals, O","Simonyan, K",2
"Vinyals, O","Osindero, S",2
"Kakade, S","Dayan, P",2
"Vinyals, O","Hennigan, T",2
"Vinyals, O","Guy, A",2
"Vinyals, O","Clark, A",2
"Vinyals, O","Damoc, B",2
"Vinyals, O","Millican, K",2
"Raffel, C","Shazeer, N",2
"Vinyals, O","Rutherford, E",2
"Vinyals, O","Cai, T",2
"Vinyals, O","Hoffmann, J",2
"Vinyals, O","Mensch, A",2
"Vinyals, O","Borgeaud, S",2
"Vinyals, O","Zisserman, A",2
"Vinyals, O","Senior, A",2
"Vinyals, O","Rae, JW",2
"Vinyals, O","Elsen, E",2
"Vinyals, O","Sifre, L",2
"Ringeval, F","Schuller, B",2
"Bandar, ZA","Li, YH",2
"Bandar, ZA","McLean, D",2
"McLean, D","Li, YH",2
"McLean, D","Bandar, ZA",2
"Dasigi, P","Gardner, M",2
"Liu, T","Qin, B",2
"Liu, NF","Gardner, M",2
"Wu, Q","Hu, M",2
"Qin, B","Liu, T",2
"Yao, Y","Sun, MS",2
"Le, Q","Petrov, S",2
"Povey, D","Wang, YM",2
"Le, Q","Devlin, J",2
"Le, Q","Zoph, B",2
"Dayan, P","Kakade, S",2
"Choi, Y","Zellers, R",2
"Li, X","Liu, YH",2
"Choi, Y","Sap, M",2
"Liu, Q","Jiang, X",2
"Luan, HB","Sun, MS",2
"Jernite, Y","Rush, AM",2
"Rigoll, G","Schuller, B",2
"Bolton, J","Zhang, YH",2
"Zhang, YH","Bolton, J",2
"Zhang, YH","Zhang, YH",2
"Qi, P","Manning, CD",2
"Guy, A","Borgeaud, S",2
"Choi, Y","Rashkin, H",2
"Han, X","Zhang, ZY",2
"Grefenstette, E","Blunsom, P",2
"Zhang, ZY","Tang, J",2
"Blunsom, P","Grefenstette, E",2
"Zhang, ZY","Han, X",2
"Lorist, MM","Boksem, MAS",2
"Boksem, MAS","Lorist, MM",2
"Luan, HB","Liu, ZY",2
"Song, KT","Tan, X",2
"Song, KT","Qin, T",2
"Song, KT","Lu, JF",2
"Murray, MM","Javitt, DC",2
"Murray, MM","Schroeder, CE",2
"Murray, MM","Foxe, JJ",2
"Javitt, DC","Murray, MM",2
"Javitt, DC","Schroeder, CE",2
"Javitt, DC","Foxe, JJ",2
"Schroeder, CE","Murray, MM",2
"Schroeder, CE","Javitt, DC",2
"Foxe, JJ","Murray, MM",2
"Foxe, JJ","Javitt, DC",2
"Lu, JF","Liu, TY",2
"Lu, JF","Qin, T",2
"Lu, JF","Tan, X",2
"Lu, JF","Song, KT",2
"Song, KT","Liu, TY",2
"Cho, K","Bengio, Y",2
"Bowman, SR","Singh, A",2
"Socher, R","Kryscinski, W",2
"Rashkin, H","Sap, M",2
"Ponzetto, SP","Navigli, R",2
"Navigli, R","Ponzetto, SP",2
"Jiang, X","Liu, Q",2
"Narang, S","Chung, HW",2
"Narang, S","Mishra, G",2
"Narang, S","Devlin, J",2
"Narang, S","Chowdhery, A",2
"Ghazvininejad, M","Zettlemoyer, L",2
"Sap, M","Rashkin, H",2
"Sap, M","Choi, Y",2
"Ghazvininejad, M","Liu, YH",2
"Edunov, S","Ott, M",2
"Edunov, S","Fan, A",2
"Edunov, S","Grangier, D",2
"Edunov, S","Goyal, N",2
"Rashkin, H","Choi, Y",2
"Weikum, G","Suchanek, FM",2
"Rush, AM","Jernite, Y",2
"Zisserman, A","Vinyals, O",2
"Fan, A","Grangier, D",2
"Fan, A","Edunov, S",2
"Singh, A","Bowman, SR",2
"Narang, S","Petrov, S",2
"Narang, S","Dean, J",2
"Narang, S","Wei, J",2
"Narang, S","Wang, XZ",2
"Narang, S","Pellat, M",2
"Chung, JS","Senior, A",2
"Chung, JS","Vinyals, O",2
"Narang, S","Zoph, B",2
"Suchanek, FM","Weikum, G",2
"Narang, S","Zhou, D",2
"Narang, S","Robinson, K",2
"Zisserman, A","Senior, A",2
"Vinyals, O","Chung, JS",2
"Ringeval, F","Lalanne, D",2
"Hu, M","Wu, Q",2
"Chung, HW","Zoph, B",2
"Wang, JD","Wang, C",2
"Chen, DQ","Gao, TY",2
"Simonyan, K","Sifre, L",2
"Simonyan, K","Rae, JW",2
"Simonyan, K","Osindero, S",2
"Simonyan, K","Vinyals, O",2
"Lalanne, D","Ringeval, F",2
"Dai, AM","Devlin, J",2
"Cowie, R","Valstar, M",2
"Dai, AM","Lee, K",2
"Chung, HW","Zhou, D",2
"Simonyan, K","Hennigan, T",2
"Chung, HW","Robinson, K",2
"Simonyan, K","Guy, A",2
"Simonyan, K","Clark, A",2
"Simonyan, K","Damoc, B",2
"Tang, J","Li, JZ",2
"Bosma, M","Wang, XZ",2
"Chung, HW","Pellat, M",2
"Tang, J","Wang, XZ",2
"Tang, J","Qiu, JZ",2
"Tang, J","Yang, ZL",2
"Tang, J","Zhang, ZY",2
"Tang, J","Ding, N",2
"Wang, XZ","Liu, ZY",2
"Wang, XZ","Tang, J",2
"Wang, XZ","Li, JZ",2
"Tang, J","Liu, Y",2
"Fedus, W","Zoph, B",2
"Gratch, J","Scherer, S",2
"Gratch, J","Stratou, G",2
"Chung, HW","Petrov, S",2
"Chung, HW","Dean, J",2
"Chung, HW","Wei, J",2
"Chung, HW","Wang, XZ",2
"Gao, TY","Liu, ZY",2
"Simonyan, K","van den Driessche, G",2
"Simonyan, K","Millican, K",2
"Grangier, D","Fan, A",2
"Grangier, D","Dauphin, YN",2
"Chung, HW","Roberts, A",2
"Chung, HW","Mishra, G",2
"Stratou, G","Scherer, S",2
"Chung, HW","Devlin, J",2
"Chung, HW","Narang, S",2
"Chung, HW","Chowdhery, A",2
"Wang, C","Wang, JD",2
"Chi, EH","Wang, XZ",2
"Li, GQ","Deng, L",2
"Li, GQ","Wu, YJ",2
"Wu, YJ","Li, GQ",2
"Wu, YJ","Deng, L",2
"Liu, TY","Lu, JF",2
"Dolan, B","Zhang, YZ",2
"Stratou, G","Gratch, J",2
"Grangier, D","Ott, M",2
"Simonyan, K","Rutherford, E",2
"Grangier, D","Edunov, S",2
"Simonyan, K","Cai, T",2
"Simonyan, K","Hoffmann, J",2
"Simonyan, K","Mensch, A",2
"Simonyan, K","Borgeaud, S",2
"Gao, TY","Chen, DQ",2
"Dai, AM","Petrov, S",2
"Scherer, S","Gratch, J",2
"Dauphin, YN","Grangier, D",2
"Scherer, S","Stratou, G",2
"Mihalcea, R","Majumder, N",2
"Xiong, CM","Kryscinski, W",2
"McCann, B","Kryscinski, W",2
"Kryscinski, W","Socher, R",2
"Kryscinski, W","Xiong, CM",2
"Kryscinski, W","McCann, B",2
"Cowie, R","Pantic, M",2
"Tang, J","Du, ZX",2
"Weninger, F","Schuller, B",2
"Elsen, E","Damoc, B",2
"Elsen, E","Borgeaud, S",2
"Elsen, E","Mensch, A",2
"Elsen, E","Hoffmann, J",2
"Elsen, E","Cai, T",2
"Elsen, E","Rutherford, E",2
"Elsen, E","Millican, K",2
"Elsen, E","van den Driessche, G",2
"Elsen, E","Clark, A",2
"Wang, XZ","Petrov, S",2
"Schuller, B","Ringeval, F",2
"Elsen, E","Guy, A",2
"Schuller, B","Weninger, F",2
"Elsen, E","Hennigan, T",2
"Schuller, B","Eyben, F",2
"Schuller, B","Marchi, E",2
"Elsen, E","Vinyals, O",2
"Ding, N","Liu, Y",2
"Schuller, B","Batliner, A",2
"Schuller, B","Steidl, S",2
"Ding, N","Liu, ZY",2
"Marchi, E","Schuller, B",2
"Kwiatkowski, T","Collins, M",2
"Manning, CD","Toutanova, K",2
"Manning, CD","Klein, D",2
"Masquelier, T","Huang, TJ",2
"Masquelier, T","Chen, YQ",2
"Masquelier, T","Yu, ZF",2
"Masquelier, T","Fang, W",2
"Kwiatkowski, T","Lee, K",2
"Kwiatkowski, T","Toutanova, K",2
"Manning, CD","Qi, P",2
"Masquelier, T","Kheradpisheh, SR",2
"Kwiatkowski, T","Chang, MW",2
"Kheradpisheh, SR","Masquelier, T",2
"Ding, N","Tang, J",2
"Elsen, E","Osindero, S",2
"Elsen, E","Rae, JW",2
"Elsen, E","Sifre, L",2
"Zhao, J","He, SZ",2
"Zhao, J","Xu, LH",2
"Liu, K","He, SZ",2
"Singh, S","Wallace, E",2
"Liu, K","Ji, GL",2
"Wang, XZ","Robinson, K",2
"Wang, XZ","Zhou, D",2
"Liu, K","Xu, LH",2
"Wang, XZ","Zoph, B",2
"Xu, LH","Zhao, J",2
"Xu, LH","Liu, K",2
"Wang, XZ","Pellat, M",2
"Wang, XZ","Wei, J",2
"Valstar, M","Cowie, R",2
"Valstar, M","Pantic, M",2
"Wang, XZ","Dean, J",2
"Zhao, J","Ji, GL",2
"Wallace, E","Singh, S",2
"Schuller, B","Rigoll, G",2
"Wang, XZ","Chung, HW",2
"Steidl, S","Schuller, B",2
"Steidl, S","Batliner, A",2
"Collins, M","Kwiatkowski, T",2
"Batliner, A","Schuller, B",2
"Batliner, A","Steidl, S",2
"Collins, M","Lee, K",2
"Collins, M","Toutanova, K",2
"Wang, XZ","Bosma, M",2
"Collins, M","Chang, MW",2
"Wang, XZ","Chi, EH",2
"Wang, XZ","Chowdhery, A",2
"Wang, XZ","Narang, S",2
"Wang, XZ","Devlin, J",2
"Wang, XZ","Mishra, G",2
